participant_id,ISI,proportion_correct,m,r
9000,0,0.5,64,32
9000,8.4,0.59375,64,38
9000,17,0.6875,64,44
9000,26,0.765625,64,49
9000,34,0.734375,64,47
9000,59,0.984375,64,63
9000,100,0.984375,64,63
9000,142,0.984375,64,63
9000,200,0.984375,64,63
9001,0,0.515625,64,33
9001,8.4,0.453125,64,29
9001,17,0.515625,64,33
9001,26,0.59375,64,38
9001,34,0.53125,64,34
9001,59,0.8125,64,52
9001,100,0.984375,64,63
9001,142,0.984375,64,63
9001,200,1,64,64
9002,0,0.453125,64,29
9002,8.4,0.609375,64,39
9002,17,0.5625,64,36
9002,26,0.546875,64,35
9002,34,0.59375,64,38
9002,59,0.65625,64,42
9002,100,0.8125,64,52
9002,142,0.953125,64,61
9002,200,0.90625,64,58
9006,0,0.53125,64,34
9006,8.4,0.515625,64,33
9006,17,0.421875,64,27
9006,26,0.609375,64,39
9006,34,0.59375,64,38
9006,59,0.609375,64,39
9006,100,0.8125,64,52
9006,142,0.9375,64,60
9006,200,1,64,64
9005,0,0.5625,64,36
9005,8.4,0.5625,64,36
9005,17,0.65625,64,42
9005,26,0.421875,64,27
9005,34,0.5625,64,36
9005,59,0.625,64,40
9005,100,0.71875,64,46
9005,142,0.84375,64,54
9005,200,0.921875,64,59
9010,0,0.5625,64,36
9010,8.4,0.515625,64,33
9010,17,0.46875,64,30
9010,26,0.703125,64,45
9010,34,0.703125,64,45
9010,59,0.921875,64,59
9010,100,0.921875,64,59
9010,142,1,64,64
9010,200,0.953125,64,61
9007,0,0.484375,64,31
9007,8.4,0.5,64,32
9007,17,0.453125,64,29
9007,26,0.484375,64,31
9007,34,0.5625,64,36
9007,59,0.609375,64,39
9007,100,0.734375,64,47
9007,142,0.96875,64,62
9007,200,0.953125,64,61
9017,0,0.515625,64,33
9017,8.4,0.578125,64,37
9017,17,0.578125,64,37
9017,26,0.5625,64,36
9017,34,0.640625,64,41
9017,59,0.59375,64,38
9017,100,0.796875,64,51
9017,142,0.96875,64,62
9017,200,0.96875,64,62
9009,0,0.625,64,40
9009,8.4,0.34375,64,22
9009,17,0.515625,64,33
9009,26,0.515625,64,33
9009,34,0.578125,64,37
9009,59,0.8125,64,52
9009,100,0.96875,64,62
9009,142,1,64,64
9009,200,1,64,64
9003,0,0.46875,64,30
9003,8.4,0.5,64,32
9003,17,0.515625,64,33
9003,26,0.5,64,32
9003,34,0.5,64,32
9003,59,0.765625,64,49
9003,100,0.984375,64,63
9003,142,0.984375,64,63
9003,200,1,64,64
9011,0,0.453125,64,29
9011,8.4,0.53125,64,34
9011,17,0.5,64,32
9011,26,0.546875,64,35
9011,34,0.546875,64,35
9011,59,0.84375,64,54
9011,100,1,64,64
9011,142,1,64,64
9011,200,1,64,64
9022,0,0.421875,64,27
9022,8.4,0.4375,64,28
9022,17,0.453125,64,29
9022,26,0.375,64,24
9022,34,0.3125,64,20
9022,59,0.359375,64,23
9022,100,0.828125,64,53
9022,142,0.890625,64,57
9022,200,1,64,64
9090,0,0.546875,64,35
9090,8.4,0.40625,64,26
9090,17,0.546875,64,35
9090,26,0.578125,64,37
9090,34,0.65625,64,42
9090,59,0.53125,64,34
9090,100,0.828125,64,53
9090,142,0.921875,64,59
9090,200,0.96875,64,62
9025,0,0.515625,64,33
9025,8.4,0.515625,64,33
9025,17,0.5625,64,36
9025,26,0.578125,64,37
9025,34,0.5625,64,36
9025,59,0.6875,64,44
9025,100,0.78125,64,50
9025,142,0.96875,64,62
9025,200,1,64,64
9026,0,0.515625,64,33
9026,8.4,0.5,64,32
9026,17,0.5,64,32
9026,26,0.515625,64,33
9026,34,0.40625,64,26
9026,59,0.421875,64,27
9026,100,0.65625,64,42
9026,142,0.890625,64,57
9026,200,0.953125,64,61
9027,0,0.5625,64,36
9027,8.4,0.578125,64,37
9027,17,0.5625,64,36
9027,26,0.625,64,40
9027,34,0.734375,64,47
9027,59,0.890625,64,57
9027,100,1,64,64
9027,142,1,64,64
9027,200,1,64,64
9028,0,0.5,64,32
9028,8.4,0.421875,64,27
9028,17,0.5625,64,36
9028,26,0.484375,64,31
9028,34,0.515625,64,33
9028,59,0.828125,64,53
9028,100,0.921875,64,59
9028,142,0.984375,64,63
9028,200,1,64,64
9029,0,0.484375,64,31
9029,8.4,0.53125,64,34
9029,17,0.5,64,32
9029,26,0.515625,64,33
9029,34,0.65625,64,42
9029,59,0.515625,64,33
9029,100,0.828125,64,53
9029,142,0.921875,64,59
9029,200,0.984375,64,63
9030,0,0.53125,64,34
9030,8.4,0.5625,64,36
9030,17,0.46875,64,30
9030,26,0.625,64,40
9030,34,0.65625,64,42
9030,59,0.8125,64,52
9030,100,0.953125,64,61
9030,142,0.96875,64,62
9030,200,1,64,64
9031,0,0.515625,64,33
9031,8.4,0.515625,64,33
9031,17,0.53125,64,34
9031,26,0.546875,64,35
9031,34,0.59375,64,38
9031,59,0.75,64,48
9031,100,0.984375,64,63
9031,142,0.984375,64,63
9031,200,0.953125,64,61
9034,0,0.421875,64,27
9034,8.4,0.421875,64,27
9034,17,0.453125,64,29
9034,26,0.421875,64,27
9034,34,0.515625,64,33
9034,59,0.484375,64,31
9034,100,0.8125,64,52
9034,142,0.953125,64,61
9034,200,0.96875,64,62
9037,0,0.546875,64,35
9037,8.4,0.515625,64,33
9037,17,0.375,64,24
9037,26,0.484375,64,31
9037,34,0.53125,64,34
9037,59,0.609375,64,39
9037,100,0.859375,64,55
9037,142,0.890625,64,57
9037,200,0.984375,64,63
9036,0,0.4375,64,28
9036,8.4,0.515625,64,33
9036,17,0.609375,64,39
9036,26,0.59375,64,38
9036,34,0.65625,64,42
9036,59,0.890625,64,57
9036,100,1,64,64
9036,142,1,64,64
9036,200,1,64,64
9032,0,0.5,64,32
9032,8.4,0.53125,64,34
9032,17,0.328125,64,21
9032,26,0.5,64,32
9032,34,0.5,64,32
9032,59,0.65625,64,42
9032,100,0.875,64,56
9032,142,0.984375,64,63
9032,200,1,64,64
9043,0,0.421875,64,27
9043,8.4,0.421875,64,27
9043,17,0.671875,64,43
9043,26,0.5,64,32
9043,34,0.421875,64,27
9043,59,0.734375,64,47
9043,100,0.890625,64,57
9043,142,0.984375,64,63
9043,200,1,64,64
9096,0,0.484375,64,31
9096,8.4,0.5,64,32
9096,17,0.609375,64,39
9096,26,0.46875,64,30
9096,34,0.640625,64,41
9096,59,0.6875,64,44
9096,100,0.96875,64,62
9096,142,1,64,64
9096,200,1,64,64
9041,0,0.46875,64,30
9041,8.4,0.5,64,32
9041,17,0.59375,64,38
9041,26,0.578125,64,37
9041,34,0.59375,64,38
9041,59,0.71875,64,46
9041,100,0.875,64,56
9041,142,0.90625,64,58
9041,200,0.953125,64,61
9042,0,0.453125,64,29
9042,8.4,0.59375,64,38
9042,17,0.765625,64,49
9042,26,0.765625,64,49
9042,34,0.703125,64,45
9042,59,0.96875,64,62
9042,100,1,64,64
9042,142,1,64,64
9042,200,0.984375,64,63
9045,0,0.515625,64,33
9045,8.4,0.53125,64,34
9045,17,0.53125,64,34
9045,26,0.59375,64,38
9045,34,0.4375,64,28
9045,59,0.65625,64,42
9045,100,0.8125,64,52
9045,142,0.828125,64,53
9045,200,0.90625,64,58
9079,0,0.40625,64,26
9079,8.4,0.53125,64,34
9079,17,0.5625,64,36
9079,26,0.546875,64,35
9079,34,0.59375,64,38
9079,59,0.8125,64,52
9079,100,1,64,64
9079,142,1,64,64
9079,200,1,64,64
9097,0,0.546875,64,35
9097,8.4,0.46875,64,30
9097,17,0.5625,64,36
9097,26,0.5,64,32
9097,34,0.515625,64,33
9097,59,0.875,64,56
9097,100,0.9375,64,60
9097,142,1,64,64
9097,200,1,64,64
9082,0,0.546875,64,35
9082,8.4,0.515625,64,33
9082,17,0.546875,64,35
9082,26,0.546875,64,35
9082,34,0.515625,64,33
9082,59,0.90625,64,58
9082,100,1,64,64
9082,142,1,64,64
9082,200,1,64,64
9095,0,0.46875,64,30
9095,8.4,0.46875,64,30
9095,17,0.5,64,32
9095,26,0.65625,64,42
9095,34,0.734375,64,47
9095,59,0.90625,64,58
9095,100,0.96875,64,62
9095,142,1,64,64
9095,200,0.96875,64,62
9099,0,0.625,64,40
9099,8.4,0.5625,64,36
9099,17,0.515625,64,33
9099,26,0.46875,64,30
9099,34,0.53125,64,34
9099,59,0.609375,64,39
9099,100,0.921875,64,59
9099,142,0.984375,64,63
9099,200,1,64,64
1000,0,0.5625,64,36
1000,8.4,0.5625,64,36
1000,17,0.546875,64,35
1000,26,0.65625,64,42
1000,34,0.609375,64,39
1000,59,0.875,64,56
1000,100,1,64,64
1000,142,0.984375,64,63
1000,200,1,64,64
1001,0,0.53125,64,34
1001,8.4,0.5,64,32
1001,17,0.609375,64,39
1001,26,0.609375,64,39
1001,34,0.6875,64,44
1001,59,0.84375,64,54
1001,100,0.96875,64,62
1001,142,1,64,64
1001,200,1,64,64
1003,0,0.515625,64,33
1003,8.4,0.515625,64,33
1003,17,0.515625,64,33
1003,26,0.546875,64,35
1003,34,0.703125,64,45
1003,59,0.8125,64,52
1003,100,0.90625,64,58
1003,142,0.953125,64,61
1003,200,0.953125,64,61
1004,0,0.515625,64,33
1004,8.4,0.609375,64,39
1004,17,0.453125,64,29
1004,26,0.53125,64,34
1004,34,0.53125,64,34
1004,59,0.59375,64,38
1004,100,0.75,64,48
1004,142,0.859375,64,55
1004,200,0.953125,64,61
1006,0,0.4375,64,28
1006,8.4,0.5625,64,36
1006,17,0.484375,64,31
1006,26,0.734375,64,47
1006,34,0.625,64,40
1006,59,0.75,64,48
1006,100,0.90625,64,58
1006,142,0.875,64,56
1006,200,0.984375,64,63
9098,0,0.46875,64,30
9098,8.4,0.59375,64,38
9098,17,0.578125,64,37
9098,26,0.5,64,32
9098,34,0.53125,64,34
9098,59,0.90625,64,58
9098,100,1,64,64
9098,142,1,64,64
9098,200,1,64,64
