participant_id,ISI,Seen,m,r
9000,0,0.640625,64,41
9000,8.4,0.828125,64,53
9000,17,0.890625,64,57
9000,26,0.890625,64,57
9000,34,0.9375,64,60
9000,59,0.984375,64,63
9000,100,1,64,64
9000,142,1,64,64
9000,200,1,64,64
9001,0,0.03125,64,2
9001,8.4,0.03125,64,2
9001,17,0.078125,64,5
9001,26,0.171875,64,11
9001,34,0.265625,64,17
9001,59,0.5,64,32
9001,100,0.875,64,56
9001,142,0.8125,64,52
9001,200,0.8125,64,52
9002,0,0.3125,64,20
9002,8.4,0.359375,64,23
9002,17,0.328125,64,21
9002,26,0.28125,64,18
9002,34,0.3125,64,20
9002,59,0.5,64,32
9002,100,0.71875,64,46
9002,142,0.8125,64,52
9002,200,0.828125,64,53
9006,0,0.234375,64,15
9006,8.4,0.1875,64,12
9006,17,0.390625,64,25
9006,26,0.390625,64,25
9006,34,0.34375,64,22
9006,59,0.5625,64,36
9006,100,0.734375,64,47
9006,142,0.796875,64,51
9006,200,0.78125,64,50
9005,0,0.03125,64,2
9005,8.4,0.03125,64,2
9005,17,0.046875,64,3
9005,26,0.09375,64,6
9005,34,0.21875,64,14
9005,59,0.515625,64,33
9005,100,0.921875,64,59
9005,142,0.9375,64,60
9005,200,0.9375,64,60
9010,0,0.578125,64,37
9010,8.4,0.609375,64,39
9010,17,0.796875,64,51
9010,26,0.796875,64,51
9010,34,0.921875,64,59
9010,59,0.9375,64,60
9010,100,0.9375,64,60
9010,142,0.984375,64,63
9010,200,0.96875,64,62
9007,0,0.28125,64,18
9007,8.4,0.234375,64,15
9007,17,0.328125,64,21
9007,26,0.515625,64,33
9007,34,0.703125,64,45
9007,59,0.84375,64,54
9007,100,0.9375,64,60
9007,142,1,64,64
9007,200,0.984375,64,63
9017,0,0.28125,64,18
9017,8.4,0.21875,64,14
9017,17,0.3125,64,20
9017,26,0.328125,64,21
9017,34,0.375,64,24
9017,59,0.640625,64,41
9017,100,0.921875,64,59
9017,142,0.9375,64,60
9017,200,0.96875,64,62
9009,0,0.109375,64,7
9009,8.4,0.171875,64,11
9009,17,0.1875,64,12
9009,26,0.359375,64,23
9009,34,0.40625,64,26
9009,59,0.625,64,40
9009,100,0.953125,64,61
9009,142,1,64,64
9009,200,1,64,64
9003,0,0.03125,64,2
9003,8.4,0.015625,64,1
9003,17,0.03125,64,2
9003,26,0.078125,64,5
9003,34,0.09375,64,6
9003,59,0.59375,64,38
9003,100,0.921875,64,59
9003,142,0.984375,64,63
9003,200,1,64,64
9011,0,0,64,0
9011,8.4,0,64,0
9011,17,0,64,0
9011,26,0.046875,64,3
9011,34,0.140625,64,9
9011,59,0.828125,64,53
9011,100,1,64,64
9011,142,1,64,64
9011,200,1,64,64
9022,0,0.34375,64,22
9022,8.4,0.421875,64,27
9022,17,0.515625,64,33
9022,26,0.671875,64,43
9022,34,0.859375,64,55
9022,59,1,64,64
9022,100,1,64,64
9022,142,1,64,64
9022,200,1,64,64
9090,0,0.84375,64,54
9090,8.4,0.796875,64,51
9090,17,0.8125,64,52
9090,26,0.90625,64,58
9090,34,0.890625,64,57
9090,59,0.890625,64,57
9090,100,0.984375,64,63
9090,142,1,64,64
9090,200,0.953125,64,61
9025,0,0.171875,64,11
9025,8.4,0.078125,64,5
9025,17,0.1875,64,12
9025,26,0.328125,64,21
9025,34,0.390625,64,25
9025,59,0.8125,64,52
9025,100,0.9375,64,60
9025,142,1,64,64
9025,200,1,64,64
9026,0,0.234375,64,15
9026,8.4,0.140625,64,9
9026,17,0.3125,64,20
9026,26,0.34375,64,22
9026,34,0.375,64,24
9026,59,0.5625,64,36
9026,100,0.859375,64,55
9026,142,0.890625,64,57
9026,200,0.953125,64,61
9027,0,0.109375,64,7
9027,8.4,0.203125,64,13
9027,17,0.234375,64,15
9027,26,0.546875,64,35
9027,34,0.640625,64,41
9027,59,0.9375,64,60
9027,100,0.96875,64,62
9027,142,1,64,64
9027,200,1,64,64
9028,0,0.0625,64,4
9028,8.4,0.0625,64,4
9028,17,0,64,0
9028,26,0.09375,64,6
9028,34,0.140625,64,9
9028,59,0.828125,64,53
9028,100,0.953125,64,61
9028,142,0.984375,64,63
9028,200,1,64,64
9029,0,0.578125,64,37
9029,8.4,0.546875,64,35
9029,17,0.71875,64,46
9029,26,0.890625,64,57
9029,34,0.9375,64,60
9029,59,0.984375,64,63
9029,100,1,64,64
9029,142,1,64,64
9029,200,1,64,64
9030,0,0.390625,64,25
9030,8.4,0.34375,64,22
9030,17,0.75,64,48
9030,26,0.78125,64,50
9030,34,0.765625,64,49
9030,59,0.921875,64,59
9030,100,0.96875,64,62
9030,142,0.984375,64,63
9030,200,1,64,64
9031,0,0.21875,64,14
9031,8.4,0.375,64,24
9031,17,0.46875,64,30
9031,26,0.453125,64,29
9031,34,0.640625,64,41
9031,59,0.921875,64,59
9031,100,1,64,64
9031,142,1,64,64
9031,200,0.953125,64,61
9034,0,0.015625,64,1
9034,8.4,0.015625,64,1
9034,17,0.03125,64,2
9034,26,0.015625,64,1
9034,34,0.0625,64,4
9034,59,0.484375,64,31
9034,100,0.90625,64,58
9034,142,1,64,64
9034,200,1,64,64
9037,0,0.078125,64,5
9037,8.4,0.0625,64,4
9037,17,0.0625,64,4
9037,26,0.375,64,24
9037,34,0.59375,64,38
9037,59,0.90625,64,58
9037,100,0.984375,64,63
9037,142,0.984375,64,63
9037,200,0.984375,64,63
9036,0,0.15625,64,10
9036,8.4,0.125,64,8
9036,17,0.203125,64,13
9036,26,0.5,64,32
9036,34,0.5625,64,36
9036,59,0.9375,64,60
9036,100,1,64,64
9036,142,1,64,64
9036,200,1,64,64
9032,0,0.046875,64,3
9032,8.4,0.078125,64,5
9032,17,0.171875,64,11
9032,26,0.171875,64,11
9032,34,0.328125,64,21
9032,59,0.71875,64,46
9032,100,1,64,64
9032,142,0.984375,64,63
9032,200,1,64,64
9043,0,0.59375,64,38
9043,8.4,0.5,64,32
9043,17,0.671875,64,43
9043,26,0.765625,64,49
9043,34,0.90625,64,58
9043,59,0.890625,64,57
9043,100,1,64,64
9043,142,1,64,64
9043,200,1,64,64
9096,0,0,64,0
9096,8.4,0,64,0
9096,17,0,64,0
9096,26,0,64,0
9096,34,0.0625,64,4
9096,59,0.6875,64,44
9096,100,0.984375,64,63
9096,142,0.984375,64,63
9096,200,1,64,64
9041,0,0.046875,64,3
9041,8.4,0.078125,64,5
9041,17,0.125,64,8
9041,26,0.171875,64,11
9041,34,0.140625,64,9
9041,59,0.546875,64,35
9041,100,0.9375,64,60
9041,142,0.921875,64,59
9041,200,1,64,64
9042,0,0.515625,64,33
9042,8.4,0.515625,64,33
9042,17,0.734375,64,47
9042,26,0.828125,64,53
9042,34,0.8125,64,52
9042,59,0.984375,64,63
9042,100,1,64,64
9042,142,1,64,64
9042,200,1,64,64
9045,0,0.609375,64,39
9045,8.4,0.75,64,48
9045,17,0.75,64,48
9045,26,0.84375,64,54
9045,34,0.796875,64,51
9045,59,0.9375,64,60
9045,100,1,64,64
9045,142,0.984375,64,63
9045,200,1,64,64
9079,0,0.140625,64,9
9079,8.4,0,64,0
9079,17,0.03125,64,2
9079,26,0.078125,64,5
9079,34,0.25,64,16
9079,59,0.828125,64,53
9079,100,1,64,64
9079,142,1,64,64
9079,200,1,64,64
9097,0,0,64,0
9097,8.4,0.03125,64,2
9097,17,0.046875,64,3
9097,26,0.03125,64,2
9097,34,0.171875,64,11
9097,59,0.796875,64,51
9097,100,0.96875,64,62
9097,142,1,64,64
9097,200,0.984375,64,63
9082,0,0,64,0
9082,8.4,0,64,0
9082,17,0,64,0
9082,26,0.03125,64,2
9082,34,0.15625,64,10
9082,59,0.859375,64,55
9082,100,1,64,64
9082,142,1,64,64
9082,200,1,64,64
9095,0,0.09375,64,6
9095,8.4,0.125,64,8
9095,17,0.328125,64,21
9095,26,0.515625,64,33
9095,34,0.6875,64,44
9095,59,0.953125,64,61
9095,100,0.96875,64,62
9095,142,1,64,64
9095,200,1,64,64
9099,0,0,64,0
9099,8.4,0.0625,64,4
9099,17,0.03125,64,2
9099,26,0.015625,64,1
9099,34,0.046875,64,3
9099,59,0.25,64,16
9099,100,0.859375,64,55
9099,142,0.90625,64,58
9099,200,0.984375,64,63
1000,0,0.703125,64,45
1000,8.4,0.765625,64,49
1000,17,0.859375,64,55
1000,26,0.9375,64,60
1000,34,0.9375,64,60
1000,59,0.96875,64,62
1000,100,1,64,64
1000,142,1,64,64
1000,200,1,64,64
1001,0,0.015625,64,1
1001,8.4,0.015625,64,1
1001,17,0.09375,64,6
1001,26,0.171875,64,11
1001,34,0.375,64,24
1001,59,0.8125,64,52
1001,100,0.984375,64,63
1001,142,1,64,64
1001,200,1,64,64
1003,0,0.09375,64,6
1003,8.4,0.109375,64,7
1003,17,0.265625,64,17
1003,26,0.15625,64,10
1003,34,0.484375,64,31
1003,59,0.65625,64,42
1003,100,0.890625,64,57
1003,142,0.875,64,56
1003,200,0.9375,64,60
1004,0,0.359375,64,23
1004,8.4,0.390625,64,25
1004,17,0.390625,64,25
1004,26,0.375,64,24
1004,34,0.3125,64,20
1004,59,0.609375,64,39
1004,100,0.859375,64,55
1004,142,0.859375,64,55
1004,200,0.9375,64,60
1006,0,0.09375,64,6
1006,8.4,0.078125,64,5
1006,17,0.09375,64,6
1006,26,0.171875,64,11
1006,34,0.296875,64,19
1006,59,0.3125,64,20
1006,100,0.5625,64,36
1006,142,0.578125,64,37
1006,200,0.703125,64,45
9098,0,0.015625,64,1
9098,8.4,0,64,0
9098,17,0.015625,64,1
9098,26,0.046875,64,3
9098,34,0.234375,64,15
9098,59,0.890625,64,57
9098,100,0.984375,64,63
9098,142,1,64,64
9098,200,1,64,64
